episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
414,66808,103.2527,55,2,57.32
415,67202,80.3701,394,1,55.66
416,67543,312.5492,341,2,47.95
417,67570,-1.19,27,1,19.04
418,67761,73.2636,191,2,58.2
419,67793,24.2025,32,1,20.12
420,67835,3.4784,42,1,42.58
421,68104,69.4135,269,2,58.01
422,68138,13.3471,34,1,37.4
423,68158,2.7134,20,1,22.36
424,68249,112.8419,91,1,54.1
425,68389,223.2088,140,2,74.12
426,68513,167.2951,124,2,63.67
427,68615,156.8671,102,1,64.84
428,69215,230.018,600,3,52.34
429,69468,99.4437,253,2,45.41
430,69734,293.3223,266,3,71.88
431,70334,200.4315,600,2,56.25
432,70804,404.6027,470,4,89.45
433,70841,45.7185,37,1,44.63
434,71314,613.1413,473,4,82.13
435,71714,804.1985,400,6,99.8
436,71933,427.5137,219,4,88.96
437,71959,-13.0665,26,1,16.89
438,72164,419.1825,205,4,93.85
439,72213,44.6973,49,1,44.53
440,72813,394.1183,600,4,95.9
441,72953,233.4183,140,2,68.55
442,72996,42.6324,43,1,44.14
443,73115,236.0583,119,2,55.86
444,73662,369.6371,547,2,62.3
445,73855,246.3861,193,2,74.71
446,73914,28.7739,59,1,40.14
447,74514,309.7692,600,3,74.51
448,74964,356.4097,450,3,93.75
449,75564,234.1082,600,3,69.04
450,75780,401.422,216,4,82.32
451,76186,363.084,406,4,88.38
452,76697,361.7142,511,4,83.5
453,76958,258.2213,261,2,72.46
454,77344,325.4689,386,3,56.25
455,77624,555.5161,280,5,90.23
456,77737,159.4196,113,2,68.16
457,77750,-14.8947,13,1,40.23
458,77799,41.5774,49,1,44.92
459,78200,351.3765,401,3,81.64
460,78580,379.5349,380,4,91.31
461,78819,395.8744,239,3,91.6
462,79094,491.1791,275,3,81.05
463,79338,457.6605,244,3,81.64
464,79453,240.9296,115,2,72.56
465,79698,372.3182,245,4,91.89
466,79719,16.7454,21,1,46.19
467,79752,34.2195,33,1,48.73
468,80137,453.836,385,4,87.7
469,80167,28.5755,30,1,48.93
470,80413,381.6055,246,4,95.9
471,80464,31.6576,51,1,29.2
472,80506,48.1921,42,1,23.14
473,80714,411.6161,208,4,95.21
474,80830,198.4787,116,2,66.6
475,81078,331.6019,248,4,90.33
476,81299,361.1938,221,3,76.27
477,81496,420.3505,197,5,96.29
478,81616,208.8949,120,2,53.81
479,81997,803.9892,381,6,100.0
480,82037,21.6296,40,1,44.53
481,82509,281.9306,472,3,87.6
482,82693,259.7396,184,2,71.78
483,83036,548.8192,343,4,88.57
484,83161,250.2137,125,2,54.1
485,83338,243.1143,177,2,70.02
486,83406,76.3592,68,1,46.48
487,83529,282.1971,123,3,73.14
488,83603,57.1745,74,1,46.58
489,83856,347.0918,253,3,78.32
490,83946,154.7835,90,2,67.09
491,84411,453.2373,465,4,92.48
492,84749,415.984,338,4,82.81
493,84775,19.8996,26,1,50.98
494,84880,224.7159,105,2,72.17
495,85111,444.9674,231,4,85.94
496,85169,48.8875,58,1,42.68
497,85321,258.8702,152,3,73.44
498,85540,266.4736,219,2,71.39
499,85691,302.3147,151,4,81.25
500,86080,466.9729,389,5,97.36
501,86180,191.5776,100,2,72.46
502,86658,243.0467,478,3,77.25
503,86833,424.9433,175,4,82.42
504,86922,172.4758,89,2,70.02
505,87522,354.9115,600,3,75.98
506,87899,546.9914,377,4,82.91
507,88302,331.179,403,3,79.39
508,88349,81.1317,47,1,26.17
509,88668,551.4212,319,4,80.08
510,88849,361.6023,181,4,80.18
511,89273,519.7638,424,4,87.5
